"Net.Income","Class","Year","Cleaning.Supplies","Paper.Goods","Services","Total.Income","Gross.Profit","Payroll.Expenses","Total.Expense"
75,1,2022,0,0,75,75,75,0,0
1713.17,1,2022,960,0,15058.8,16018.8,16018.8,13790.63,14305.63
390.51,1,2022,0,390.51,0,390.51,390.51,0,0
300.13,1,2022,0,300.13,0,300.13,300.13,0,0
323,3,2022,0,0,700,700,700,377,377
13409.68,1,2022,3072,0,37428,40500,40500,27090.32,27090.32
1126.6,1,2022,522.36,0,4400,4922.36,4922.36,3795.76,3795.76
1921,1,2022,0,0,5975,5975,5975,4054,4054
1391.74,4,2022,2400,0,24400,26800,26800,25961,25408.26
235,1,2022,35,0,200,235,235,0,0
12287.76,3,2022,1700,0,35201,36901,36901,23500.38,24613.24
583,2,2022,450,0,275,725,725,142,142
300,2,2022,0,0,300,300,300,0,0
2851.47,1,2022,359.97,0,3315,3674.97,3674.97,823.5,823.5
11931.57,3,2022,1903,326.47,34956.35,37185.82,37185.82,25254.25,25254.25
13500.59,1,2022,900,2250.98,19200,22350.98,22350.98,8850.39,8850.39
7061.22,1,2022,1080,0,8335,9415,9415,2353.78,2353.78
3739,1,2022,300,0,7045,7345,7345,3606,3606
19310.53,1,2022,1614.98,328.01,29000,30942.99,30942.99,11632.46,11632.46
4425.71,1,2022,300,0,7615,7915,7915,3489.29,3489.29
5156.09,1,2022,291,0,7130,7421,7421,2264.91,2264.91
937.37,1,2022,900,0,8100,9000,9000,8062.63,8062.63
1598.38,1,2022,300,0,2400,2700,2700,1101.62,1101.62
2880.75,2,2022,900,0,8700,9600,9600,6719.25,6719.25
98,1,2022,0,0,280,280,280,182,182
770.37,3,2022,0,0,2100,2100,2100,1329.63,1329.63
275,3,2022,0,0,275,275,275,0,0
20275.35,2,2022,3000,0,31650,34650,34650,14374.65,14374.65
7204.4,1,2022,1799.4,0,32700,34499.4,34499.4,27295,27295
62757.32,2,2022,5330.49,170.88,155626.49,161127.86,161127.86,98370.54,98370.54
5259.71,1,2022,660,607.71,6435,7702.71,7702.71,2443,2443
-14300.75,1,2022,0,0,0,0,0,14300.75,14300.75
11434.28,1,2022,900.03,0,17400,18300.03,18300.03,6865.75,6865.75
3512.1,1,2022,0,234.6,5502.5,5737.1,5737.1,2225,2225
19020.65,3,2022,2950.5,293.9,38352,41596.4,41596.4,22575.75,22575.75
15078.12,1,2022,1200,130,0,1330,1330,19451.88,-13748.12
80,1,2022,0,80,0,80,80,0,0
14470.45,2,2022,935,0,30401.7,31336.7,31336.7,16866.25,16866.25
149855.83,2,2022,12000,0,256413.5,268413.5,268413.5,118557.67,118557.67
14717.88,4,2022,2755,99.01,37500,40354.01,40354.01,25636.13,25636.13
4291.52,1,2022,600,599.42,5400,6599.42,6599.42,2307.9,2307.9
6329.83,1,2022,1020,1150.78,7300,9470.78,9470.78,3140.95,3140.95
8929.16,1,2022,955,691.66,12585,14231.66,14231.66,5152.5,5302.5
61669.74,1,2022,5500,0,138644.97,144144.97,144144.97,86782,82475.23
4589.67,1,2022,300,0,6625,6925,6925,2335.33,2335.33
-6414.89,1,2022,0,0,0,0,0,6414.89,6414.89
21252.38,1,2022,2812.5,2044.67,41635,46492.17,46492.17,25239.79,25239.79
9004.89,1,2022,1320,1977.55,14700,17997.55,17997.55,8992.66,8992.66
3630.97,1,2022,600,358.29,5400,6358.29,6358.29,2727.32,2727.32
1271,1,2022,0,0,1327.5,1327.5,1327.5,56.5,56.5
23801.6,3,2022,750,0,46758.85,47508.85,47508.85,20657.25,23707.25
6330.4,1,2022,900,707.01,7500,9107.01,9107.01,2776.61,2776.61
210.84,1,2022,0,0,273.34,273.34,273.34,62.5,62.5
11193,1,2022,0,0,13920,13920,13920,2727,2727
12314.95,4,2022,25500,5647.66,0,31147.66,31147.66,18832.71,18832.71
8974.41,4,2022,10200,1647.69,100,11947.69,11947.69,2973.28,2973.28
67403.64,2,2022,13422.94,0,116965,130387.94,130387.94,60793.88,62984.3
12427.29,3,2022,1913.54,0,34409,36322.54,36322.54,23895.25,23895.25
